https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
zap-off                   | \ue1b5     | 57781   
zoom-in                   | \ue1b6     | 57782   
zoom-out                  | \ue1b7     | 57783   
bluetooth-connected       | \ue1b8     | 57784   
bluetooth-off             | \ue1b9     | 57785   
bluetooth-searching       | \ue1ba     | 57786   
bot                       | \ue1bb     | 57787   
calculator                | \ue1bc     | 57788   
equal                     | \ue1bd     | 57789   
equal-not                 | \ue1be     | 57790   
gauge                     | \ue1bf     | 57791   
image-off                 | \ue1c0     | 57792   
layout-dashboard          | \ue1c1     | 57793   
lightbulb                 | \ue1c2     | 57794   
mouse-pointer-2           | \ue1c3     | 57795   
move-diagonal             | \ue1c4     | 57796   
move-diagonal-2           | \ue1c5     | 57797   
move-horizontal           | \ue1c6     | 57798   
move-vertical             | \ue1c7     | 57799   
separator-horizontal      | \ue1c8     | 57800   
separator-vertical        | \ue1c9     | 57801   
shirt                     | \ue1ca     | 57802   
square-dashed             | \ue1cb     | 57803   
building                  | \ue1cc     | 57804   
laptop                    | \ue1cd     | 57805   
lasso                     | \ue1ce     | 57806   
lasso-select              | \ue1cf     | 57807   
list-checks               | \ue1d0     | 57808   
list-ordered              | \ue1d1     | 57809   
bike                      | \ue1d2     | 57810   
brush                     | \ue1d3     | 57811   
bus                       | \ue1d4     | 57812   
car                       | \ue1d5     | 57813   
crown                     | \ue1d6     | 57814   
hand                      | \ue1d7     | 57815   
laptop-minimal            | \ue1d8     | 57816   
layout-list               | \ue1d9     | 57817   
locate                    | \ue1da     | 57818   
locate-fixed              | \ue1db     | 57819   
monitor-off               | \ue1dc     | 57820   
palette                   | \ue1dd     | 57821   
plane                     | \ue1de     | 57822   
qr-code                   | \ue1df     | 57823   
timer                     | \ue1e0     | 57824   
arrow-big-down            | \ue1e1     | 57825   
arrow-big-left            | \ue1e2     | 57826   
arrow-big-right           | \ue1e3     | 57827   
arrow-big-up              | \ue1e4     | 57828   
cross                     | \ue1e5     | 57829   
hand-grab                 | \ue1e6     | 57830   
infinity                  | \ue1e7     | 57831   
pointer                   | \ue1e8     | 57832   
server-crash              | \ue1e9     | 57833   
server-off                | \ue1ea     | 57834   
sprout                    | \ue1eb     | 57835   
alarm-clock-check         | \ue1ec     | 57836   
alarm-clock-minus         | \ue1ed     | 57837   
alarm-clock-plus          | \ue1ee     | 57838   
asterisk                  | \ue1ef     | 57839   
bell-minus                | \ue1f0     | 57840   
bell-plus                 | \ue1f1     | 57841   
binary                    | \ue1f2     | 57842   
earth                     | \ue1f3     | 57843   
git-branch-plus           | \ue1f4     | 57844   
history                   | \ue1f5     | 57845   
image-minus               | \ue1f6     | 57846   
image-plus                | \ue1f7     | 57847   
option                    | \ue1f8     | 57848   
pencil                    | \ue1f9     | 57849   
podcast                   | \ue1fa     | 57850   
radio-receiver            | \ue1fb     | 57851   
regex                     | \ue1fc     | 57852   
repeat-1                  | \ue1fd     | 57853   
shield-alert              | \ue1fe     | 57854   
shield-check              | \ue1ff     | 57855   
shield-x                  | \ue200     | 57856   
sigma                     | \ue201     | 57857   
square-mouse-pointer      | \ue202     | 57858   
tv-minimal                | \ue203     | 57859   
wallet                    | \ue204     | 57860   
webcam                    | \ue205     | 57861   
code-xml                  | \ue206     | 57862   
layout-template           | \ue207     | 57863   
lightbulb-off             | \ue208     | 57864   
power-off                 | \ue209     | 57865   
square-terminal           | \ue20a     | 57866   
star-half                 | \ue20b     | 57867   
bug                       | \ue20c     | 57868   
glasses                   | \ue20d     | 57869   
ghost                     | \ue20e     | 57870   
ticket                    | \ue20f     | 57871   
monitor-speaker           | \ue210     | 57872   
chevrons-up-down          | \ue211     | 57873   
scale                     | \ue212     | 57874   
circle-slash-2            | \ue213     | 57875   
cloud-fog                 | \ue214     | 57876   
cloud-moon                | \ue215     | 57877   
cloud-sun                 | \ue216     | 57878   
cloudy                    | \ue217     | 57879   
tornado                   | \ue218     | 57880   
